Game,Platform
Dragon Quest III,NES
Dragon Quest III,SNES
Dragon Quest IV,NES
Dragon Quest IV: Chapters of the Chosen,DS
Dragon Quest IX: Sentinels of the Starry Skies,DS
Dragon Quest Monsters: Joker,DS
Dragon Quest Monsters: Joker 2,DS
Dragon Quest V,SNES
Dragon Quest V: Hand of the Heavenly Bride,DS
Dragon Quest VI,SNES
Dragon Quest VI: Realms of Revelation,DS
Dragon Quest VII: Fragments of the Forgotten Past,3DS
Dragon Quest XI: Echoes of an Elusive Age,3DS
Dragon Warrior Monsters,GB/GBC
Dragon Warrior Monsters 2,GB/GBC
Drawn to Life,DS
Duck Hunt,NES
DuckTales,NES
DuckTales,GB/GBC
DuckTales 2,GB/GBC
EA Sports Active,Wii
English Training: Have Fun Improving Your Skills!,DS
Enter the Gungeon,NS
Epic Mickey,Wii
Excitebike,NES
Excitebike 64,N64
F-1 Race,NES
F-1 Race,GB/GBC
F-1 World Grand Prix,N64
F-Zero,SNES
F-Zero GX,GCN
F-Zero X,N64
F-Zero: Maximum Velocity,GBA
Famicom Jump: Hero Retsuden,NES
Fantasy Life,3DS
Final Fantasy,NES
Final Fantasy Crystal Chronicles,GCN
Final Fantasy III,NES
Final Fantasy III,DS
Final Fantasy IV,SNES
Final Fantasy IV,DS
Final Fantasy Tactics Advance,GBA
Final Fantasy V,SNES
Final Fantasy VI,SNES
Final Fantasy XII: Revenant Wings,DS
Final Fight,SNES
Final Fight 2 ,SNES
Finding Nemo,GBA
Fire Emblem Awakening,3DS
Fire Emblem Fates: Birthright and Conquest,3DS
Fire Emblem: Three Houses,NS
Fitness Boxing,NS
Fitness Boxing 2: Rhythm and Exercise,NS
Flash Focus: Vision Training in Minutes a Day,DS
Frogger's Adventures: Temple of the Frog,GBA
Game & Watch Gallery,GB/GBC
Game & Watch Gallery 2,GB/GBC
Game & Watch Gallery 3,GB/GBC
Game Builder Garage,NS
Game de Hakken!! Tamagotchi 2,GB/GBC
Game Party,Wii
Game Party 2 ,Wii
Ganbare Goemon! Karakuri Dōchū,NES
Ghosts 'n Goblins,NES
Golden Sun,GBA
Golden Sun: The Lost Age,GBA
GoldenEye 007,N64
Golf,NES
Golf,GB/GBC
Gradius,NES
Guitar Hero III: Legends of Rock,Wii
Guitar Hero World Tour,Wii
Guitar Hero: On Tour,DS
Gyromite,NES
Hannah Montana,DS
Harry Potter and the Chamber of Secrets,GBA
"Hey You, Pikachu!",N64
High School Musical: Makin' the Cut!,DS
Hogan's Alley,NES
Hydlide,NES
Hyrule Warriors,WU
Hyrule Warriors: Age of Calamity,NS
Ice Climber,NES
Ice Hockey,NES
Inazuma Eleven: Firestorm and Blizzard,DS
James Bond 007 ,GB/GBC
Jet Force Gemini,N64
Just Dance,Wii
Just Dance 2,Wii
Just Dance 3,Wii
Kid Icarus,NES
Kid Icarus: Uprising,3DS
Killer Instinct,SNES
Kingdom Hearts 358/2 Days,DS
Kingdom Hearts 3D: Dream Drop Distance ,3DS
Kingdom Hearts: Chain of Memories,GBA
Kirby & the Amazing Mirror,GBA
Kirby 64: The Crystal Shards,N64
Kirby Air Ride,GCN
Kirby and the Forgotten Land,NS
Kirby Mass Attack,DS
Kirby Star Allies,NS
Kirby Super Star,SNES
Kirby Super Star Ultra,DS
Kirby Tilt 'n' Tumble,GB/GBC
Kirby: Nightmare in Dream Land,GBA
Kirby: Planet Robobot,3DS
Kirby: Squeak Squad,DS
Kirby: Triple Deluxe,3DS
Kirby's Adventure,NES
Kirby's Dream Land,GB/GBC
Kirby's Dream Land 2,GB/GBC
Kirby's Epic Yarn,Wii
Kirby's Pinball Land,GB/GBC
Kirby's Return to Dream Land,Wii
Kobe Bryant in NBA Courtside,N64
Kung Fu,NES
Lego City Undercover,WU
Lego City Undercover: The Chase Begins,3DS
Lego Star Wars: The Complete Saga,DS
Lego Star Wars: The Complete Saga,Wii
Link's Crossbow Training,Wii
Lode Runner,NES
Love and Berry DS Collection,DS
Luigi's Mansion,GCN
Luigi's Mansion 3,NS
Luigi's Mansion: Dark Moon,3DS
Mahjong,NES
Mario & Luigi: Bowser's Inside Story,DS
Mario & Luigi: Dream Team,3DS
Mario & Luigi: Paper Jam,3DS
Mario & Luigi: Partners in Time,DS
Mario & Luigi: Superstar Saga,GBA
Mario & Sonic at the London 2012 Olympic Games,Wii
Mario & Sonic at the Olympic Games,DS
Mario & Sonic at the Olympic Games,Wii
Mario & Sonic at the Olympic Winter Games,Wii
Mario & Sonic at the Rio 2016 Olympic Games,WU
Mario + Rabbids Kingdom Battle,NS
Mario Bros.,NES
Mario Golf,N64
Mario Golf: Super Rush,NS
Mario Golf: Toadstool Tour,GCN
Mario Hoops 3-on-3,DS
Mario Kart 64,N64
Mario Kart 7,3DS
Mario Kart 8,WU
Mario Kart 8 Deluxe,NS
Mario Kart DS,DS
Mario Kart Live: Home Circuit,NS
Mario Kart Wii,Wii
Mario Kart: Double Dash,GCN
Mario Kart: Super Circuit,GBA
Mario Paint,SNES
Mario Party,N64
Mario Party 10,WU
Mario Party 2,N64
Mario Party 3,N64
Mario Party 4,GCN
Mario Party 5,GCN
Mario Party 6,GCN
Mario Party 7,GCN
Mario Party 8,Wii
Mario Party 9,Wii
Mario Party DS,DS
Mario Party Superstars,NS
Mario Party: Island Tour,3DS
Mario Power Tennis,GCN
Mario Sports Mix,Wii
Mario Strikers Charged,Wii
Mario Super Sluggers,Wii
Mario Superstar Baseball ,GCN
Mario Tennis,GB/GBC
Mario Tennis,N64
Mario Tennis Aces,NS
Mario Tennis Open,3DS
Mario vs. Donkey Kong,GBA
Mario vs. Donkey Kong 2: March of the Minis,DS
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS
Marvel Ultimate Alliance 3: The Black Order,NS
Mega Man 2,NES
Mega Man 3,NES
Mega Man Battle Network 4: Red Sun and Blue Moon,GBA
Mega Man II,GB/GBC
Mega Man X,SNES
Mega Man: Dr. Wily's Revenge,GB/GBC
Metal Gear,NES
Metroid,NES
Metroid Dread,NS
Metroid Fusion,GBA
Metroid II: Return of Samus,GB/GBC
Metroid Prime,GCN
Metroid Prime 2: Echoes,GCN
Metroid Prime 3: Corruption,Wii
Metroid Prime Hunters,DS
Michael Jackson: The Experience,Wii
Mickey Mouse: Magic Wands!,GB/GBC
Mickey's Dangerous Chase,GB/GBC
Mighty Bomb Jack,NES
Miitopia,3DS
Miitopia,NS
Minecraft,NS
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",NS
Monster Hunter 3 Ultimate,3DS
Monster Hunter 4,3DS
Monster Hunter 4 Ultimate,3DS
Monster Hunter Generations,3DS
Monster Hunter Rise,NS
Monster Hunter Tri,Wii
Monster Hunter XX,3DS
Monster Strike,3DS
Mortal Kombat 3,SNES
Mortal Kombat II,SNES
MySims,DS
Namco Museum,GBA
Namco Museum 64 ,N64
NBA Jam,SNES
NES Classics Series: Super Mario Bros.,GBA
NES Open Tournament Golf ,NES
New Play Control! Mario Power Tennis,Wii
New Pokémon Snap,NS
New Super Luigi U,WU
New Super Mario Bros.,DS
New Super Mario Bros. 2,3DS
New Super Mario Bros. U,WU
New Super Mario Bros. U Deluxe,NS
New Super Mario Bros. Wii,Wii
Ninja Hattori-kun,NES
Ninja JaJaMaru-kun,NES
Ninja Kid,NES
Nintendo Labo Toy-Con 01: Variety Kit,NS
Nintendo Land,WU
Nintendo World Cup,NES
Nintendogs (all versions),DS
Nintendogs + Cats,3DS
Octopath Traveler,NS
Pac-Man Collection,GBA
Paper Mario,N64
Paper Mario: Sticker Star,3DS
Paper Mario: The Origami King,NS
Paper Mario: The Thousand-Year Door,GCN
Perfect Dark,N64
Personal Trainer: Cooking,DS
Pikmin,GCN
Pikmin 2,GCN
Pikmin 3,WU
Pikmin 3 Deluxe,NS
Pilotwings,SNES
Pilotwings 64,N64
Pinball,NES
Pocket Monsters' Stadium,N64
Pokémon Battle Revolution,Wii
Pokémon Black 2 and White 2,DS
Pokémon Black and White,DS
Pokémon Brilliant Diamond and Shining Pearl,NS
Pokémon Colosseum,GCN
Pokémon Diamond and Pearl,DS
Pokémon Emerald,GBA
Pokémon FireRed and LeafGreen,GBA
Pokémon Gold / Silver / Crystal,GB/GBC
Pokémon HeartGold and SoulSilver,DS
Pokémon Legends: Arceus,NS
Pokémon Mystery Dungeon: Blue Rescue Team,DS
Pokémon Mystery Dungeon: Explorers of Sky,DS
Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness,DS
Pokémon Mystery Dungeon: Gates to Infinity,3DS
Pokémon Mystery Dungeon: Red Rescue Team,GBA
Pokémon Mystery Dungeon: Rescue Team DX,NS
Pokémon Omega Ruby and Alpha Sapphire,3DS
Pokémon Pinball,GB/GBC
Pokémon Pinball: Ruby & Sapphire,GBA
Pokémon Platinum,DS
Pokémon Ranger,DS
Pokémon Ranger: Shadows of Almia,DS
Pokémon Red / Green / Blue / Yellow,GB/GBC
Pokémon Red / Green / Blue / Yellow[d],3DS
Pokémon Ruby and Sapphire,GBA
Pokémon Rumble Blast,3DS
Pokémon Snap,N64
Pokémon Stadium,N64
Pokémon Stadium 2,N64
Pokémon Sun and Moon,3DS
Pokémon Super Mystery Dungeon,3DS
Pokémon Sword and Shield,NS
Pokémon Trading Card Game,GB/GBC
Pokémon Ultra Sun and Ultra Moon,3DS
Pokémon X and Y,3DS
Pokémon XD: Gale of Darkness,GCN
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",NS
PokéPark Wii: Pikachu's Adventure,Wii
Pokkén Tournament ,WU
Pokkén Tournament DX,NS
Popeye,NES
Pro Wrestling,NES
Pro Yakyū Family Stadium '87,NES
Pro Yakyū Family Stadium '88,NES
Pro Yakyū Family Stadium (R.B.I. Baseball),NES
Professor Kageyama's Maths Training: The Hundred Cell Calculation Method,DS
Professor Layton and the Curious Village,DS
Professor Layton and the Diabolical Box,DS
Professor Layton and the Last Specter,DS
Professor Layton and the Miracle Mask,3DS
Professor Layton and the Unwound Future,DS
Punch-Out!!,NES
Punch-Out!!,Wii
Puzzle & Dragons Z: Pazudora Z,3DS
Qix,GB/GBC
R.C. Pro-Am,NES
Rad Racer,NES
Rayman Raving Rabbids,Wii
Red Steel,Wii
Resident Evil,GCN
Resident Evil 4,GCN
Resident Evil 4: Wii Edition,Wii
Resident Evil Revelations Collection,NS
Resident Evil Zero,GCN
Resident Evil: The Umbrella Chronicles,Wii
Rhythm Heaven,DS
Rhythm Heaven Megamix,3DS
Ring Fit Adventure,NS
Rock Band,Wii
Romancing SaGa,SNES
Romancing SaGa 2,SNES
Romancing SaGa 3,SNES
Scribblenauts,DS
Secret of Mana,SNES
Shin Megami Tensei V,NS
SimCity,SNES
Soccer,NES
Solar Striker,GB/GBC
Sonic Advance,GBA
Sonic Advance 2,GBA
Sonic Adventure 2: Battle,GCN
Sonic Mega Collection,GCN
Soulcalibur II,GCN
Space Invaders,GB/GBC
Spectrobes ,DS
Splatoon,WU
Splatoon 2,NS
Spyro: Season of Ice,GBA
Star Fox,SNES
Star Fox 64,N64
Star Fox 64 3D,3DS
Star Fox Adventures,GCN
Star Fox: Assault,GCN
Star Wars,GB/GBC
Star Wars Episode I: Racer,N64
Star Wars Rogue Squadron II: Rogue Leader,GCN
Star Wars: Rogue Squadron,N64
Star Wars: Shadows of the Empire,N64
Story of Seasons: Pioneers of Olive Town,NS
Street Fighter II,GB/GBC
Street Fighter II: Hyper Fighting,SNES
Street Fighter II: The World Warrior,SNES
Style Savvy,DS
Style Savvy: Trendsetters,3DS
Super Ghouls 'n Ghosts,SNES
Super Mario 3D All-Stars,NS
Super Mario 3D Land,3DS
Super Mario 3D World,WU
Super Mario 3D World + Bowser's Fury,NS
Super Mario 64,N64
Super Mario 64 DS,DS
Super Mario Advance,GBA
Super Mario Advance 4: Super Mario Bros. 3,GBA
Super Mario All-Stars,SNES
Super Mario All-Stars: 25th Anniversary Edition,Wii
Super Mario Bros.,NES
Super Mario Bros. 2 (international version),NES
Super Mario Bros. 2 (Japanese version),NES
Super Mario Bros. 3,NES
Super Mario Bros. 3[f],Wii
Super Mario Bros. Deluxe,GB/GBC
Super Mario Galaxy,Wii
Super Mario Galaxy 2,Wii
Super Mario Kart,SNES
Super Mario Land,GB/GBC
Super Mario Land 2: 6 Golden Coins,GB/GBC
Super Mario Maker,WU
Super Mario Maker 2,NS
Super Mario Maker for Nintendo 3DS,3DS
Super Mario Odyssey,NS
Super Mario Party,NS
Super Mario RPG,SNES
Super Mario Strikers,GCN
Super Mario Sunshine,GCN
Super Mario World,SNES
Super Mario World 2: Yoshi's Island,SNES
Super Mario World: Super Mario Advance 2,GBA
Super Metroid,SNES
Super Paper Mario,Wii
Super Princess Peach,DS
Super Puyo Puyo,SNES
Super R.C. Pro-Am,GB/GBC
Super Scope 6,SNES
Super Smash Bros.,N64
Super Smash Bros. Brawl,Wii
Super Smash Bros. for Nintendo 3DS,3DS
Super Smash Bros. for Wii U,WU
Super Smash Bros. Melee,GCN
Super Smash Bros. Ultimate,NS
Super Street Fighter II,SNES
Super Street Fighter IV: 3D Edition,3DS
Tag Team Match: MUSCLE,NES
Taiko no Tatsujin: Drum 'n' Fun!,NS
Tamagotchi (Game de Hakken!! Tamagotchi),GB/GBC
Tamagotchi Connection: Corner Shop,DS
Teenage Mutant Ninja Turtles,NES
Tennis,NES
Tennis,GB/GBC
Tetris,NES
Tetris,GB/GBC
Tetris 2,GB/GBC
Tetris DS,DS
Tetris DX,GB/GBC
The Bugs Bunny Crazy Castle,GB/GBC
The Bugs Bunny Crazy Castle 2,GB/GBC
The Final Fantasy Legend,GB/GBC
The Incredibles,GBA
The Legend of Zelda,NES
The Legend of Zelda: A Link Between Worlds,3DS
The Legend of Zelda: A Link to the Past,SNES
The Legend of Zelda: A Link to the Past,GBA
The Legend of Zelda: Breath of the Wild,WU
The Legend of Zelda: Breath of the Wild,NS
The Legend of Zelda: Link's Awakening,GB/GBC
The Legend of Zelda: Link's Awakening,NS
The Legend of Zelda: Link's Awakening DX,GB/GBC
The Legend of Zelda: Majora's Mask,N64
The Legend of Zelda: Majora's Mask 3D,3DS
The Legend of Zelda: Ocarina of Time,N64
The Legend of Zelda: Ocarina of Time 3D,3DS
The Legend of Zelda: Oracle of Seasons and Oracle of Ages,GB/GBC
The Legend of Zelda: Phantom Hourglass,DS
The Legend of Zelda: Skyward Sword,Wii
The Legend of Zelda: Skyward Sword HD,NS
The Legend of Zelda: Spirit Tracks,DS
The Legend of Zelda: The Minish Cap,GBA
The Legend of Zelda: The Wind Waker,GCN
The Legend of Zelda: The Wind Waker HD,WU
The Legend of Zelda: Tri Force Heroes,3DS
The Legend of Zelda: Twilight Princess,GCN
The Legend of Zelda: Twilight Princess,Wii
The Legend of Zelda: Twilight Princess HD,WU
The Lion King,SNES
The Little Mermaid,GB/GBC
The Magical Quest Starring Mickey Mouse,SNES
The Smurfs,GB/GBC
Thief Simulator ,NS
Tiger Heli,NES
Tomodachi Collection,DS
Tomodachi Life,3DS
Tony Hawk's Pro Skater,N64
Top Gun,NES
Turok 2: Seeds of Evil,N64
Turok: Dinosaur Hunter,N64
TwinBee,NES
Volleyball,NES
Wario Land 3,GB/GBC
Wario Land 4,GBA
Wario Land II,GB/GBC
Wario Land: Shake It!,Wii
Wario Land: Super Mario Land 3,GB/GBC
"WarioWare, Inc.: Mega Microgames!",GBA
WarioWare: Get It Together!,NS
WarioWare: Smooth Moves,Wii
WarioWare: Touched!,DS
WarioWare: Twisted! ,GBA
Wave Race,GB/GBC
Wave Race 64,N64
WCW vs. nWo: World Tour,N64
WCW/nWo Revenge,N64
We Ski,Wii
Wii Fit,Wii
Wii Fit Plus,Wii
Wii Music,Wii
Wii Party,Wii
Wii Party U,WU
Wii Play,Wii
Wii Play: Motion,Wii
Wii Sports,Wii
Wii Sports Resort,Wii
Wonder Project J,SNES
World Class Track Meet,NES
WWF No Mercy,N64
WWF WrestleMania 2000,N64
Xenoblade Chronicles 2,NS
Xenoblade Chronicles: Definitive Edition,NS
Xevious,NES
Yakuman,GB/GBC
Yo-kai Watch,3DS
Yo-kai Watch 2,3DS
Yo-kai Watch 3: Sushi and Tempura,3DS
Yo-kai Watch Blasters: Red Cat Corps and White Dog Squad,3DS
Yoshi,NES
Yoshi,GB/GBC
Yoshi's Cookie,NES
Yoshi's Cookie,GB/GBC
Yoshi's Crafted World,NS
Yoshi's Island DS,DS
Yoshi's Island: Super Mario Advance 3,GBA
Yoshi's New Island,3DS
Yoshi's Story,N64
Yoshi's Woolly World,WU
Yu-Gi-Oh! Dark Duel Stories,GB/GBC
Yu-Gi-Oh! Duel Monsters,GB/GBC
Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelists,GB/GBC
Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB/GBC
Yu-Gi-Oh! The Eternal Duelist Soul,GBA
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA
Zelda II: The Adventure of Link,NES
Zumba Fitness,Wii
