Hdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#001,#252,,Treecko,Grass,
#002,#253,,Grovyle,Grass,
#003,#254,,Sceptile,Grass,
#004,#255,,Torchic,Fire,
#005,#256,,Combusken,Fire,Fighting
#006,#257,,Blaziken,Fire,Fighting
#007,#258,,Mudkip,Water,
#008,#259,,Marshtomp,Water,Ground
#009,#260,,Swampert,Water,Ground
#010,#261,,Poochyena,Dark,
#011,#262,,Mightyena,Dark,
#012,#263,,Zigzagoon,Normal,
#013,#264,,Linoone,Normal,
#014,#265,,Wurmple,Bug,
#015,#266,,Silcoon,Bug,
#016,#267,,Beautifly,Bug,Flying
#017,#268,,Cascoon,Bug,
#018,#269,,Dustox,Bug,Poison
#019,#270,,Lotad,Water,Grass
#020,#271,,Lombre,Water,Grass
#021,#272,,Ludicolo,Water,Grass
#022,#273,,Seedot,Grass,
#023,#274,,Nuzleaf,Grass,Dark
#024,#275,,Shiftry,Grass,Dark
#025,#276,,Taillow,Normal,Flying
#026,#277,,Swellow,Normal,Flying
#027,#278,,Wingull,Water,Flying
#028,#279,,Pelipper,Water,Flying
#029,#280,,Ralts,Psychic,Fairy
#030,#281,,Kirlia,Psychic,Fairy
#031,#282,,Gardevoir,Psychic,Fairy
#032,#475,,Gallade,Psychic,Fighting
#033,#283,,Surskit,Bug,Water
#034,#284,,Masquerain,Bug,Flying
#035,#285,,Shroomish,Grass,
#036,#286,,Breloom,Grass,Fighting
#037,#287,,Slakoth,Normal,
#038,#288,,Vigoroth,Normal,
#039,#289,,Slaking,Normal,
#040,#063,,Abra,Psychic,
#041,#064,,Kadabra,Psychic,
#042,#065,,Alakazam,Psychic,
#043,#290,,Nincada,Bug,Ground
#044,#291,,Ninjask,Bug,Flying
#045,#292,,Shedinja,Bug,Ghost
#046,#293,,Whismur,Normal,
#047,#294,,Loudred,Normal,
#048,#295,,Exploud,Normal,
#049,#296,,Makuhita,Fighting,
#050,#297,,Hariyama,Fighting,
#051,#118,,Goldeen,Water,
#052,#119,,Seaking,Water,
#053,#129,,Magikarp,Water,
#054,#130,,Gyarados,Water,Flying
#055,#298,,Azurill,Normal,Fairy
#056,#183,,Marill,Water,Fairy
